#! FIELDS d1 file.free der_d1
#! SET min_d1 0.645089
#! SET max_d1 4.96962
#! SET nbins_d1  63
#! SET periodic_d1 false
    0.645089000   48.844769115   -0.141279557
    0.714839500   48.822575902   -0.524131173
    0.784590000   48.752656589   -1.612229058
    0.854340500   48.557654995   -4.313686306
    0.924091000   48.075446323  -10.164785087
    0.993841500   47.018546961  -21.151293474
    1.063592000   44.965128017  -38.899953378
    1.133342500   41.437812488  -63.098284200
    1.203093000   36.097134907  -89.920509018
    1.272843500   29.005095863 -111.832770578
    1.342594000   20.821234387 -119.840879323
    1.412344500   12.759404385 -107.772335347
    1.482095000    6.249111574  -76.065512491
    1.551845500    2.429086535  -32.385048257
    1.621596000    1.738974454   11.725792587
    1.691346500    3.834263142   46.188885749
    1.761097000    7.843068342   66.324956237
    1.830847500   12.771824014   73.088899686
    1.900598000   17.814368433   70.238591468
    1.970348500   22.416625877   60.800368756
    2.040099000   26.161378187   45.634718137
    2.109849500   28.645021123   24.663632060
    2.179600000   29.495720036   -0.800688421
    2.249350500   28.526721426  -26.780571576
    2.319101000   25.886025997  -47.861164319
    2.388851500   22.070452151  -59.993237767
    2.458602000   17.757177487  -62.238965700
    2.528352500   13.571904739  -56.880113637
    2.598103000    9.919783163  -47.546556288
    2.667853500    6.954784218  -37.610291754
    2.737604000    4.641621898  -29.069014665
    2.807354500    2.857424895  -22.407647113
    2.877105000    1.490416934  -16.864280730
    2.946855500    0.513643262  -10.933675530
    3.016606000    0.000000000   -3.449455446
    3.086356500    0.063534884    5.373501481
    3.156107000    0.732652004   13.399293786
    3.225857500    1.844238018   17.509309183
    3.295608000    3.034709109   15.398937203
    3.365358500    3.858799653    7.362448918
    3.435109000    3.994100653   -3.701933377
    3.504859500    3.384991813  -13.245935259
    3.574610000    2.284286414  -17.297825250
    3.644360500    1.154608372  -14.009245634
    3.714111000    0.497722972   -3.919191626
    3.783861500    0.722799080   10.803845025
    3.853612000    2.073266843   28.001103629
    3.923362500    4.657388877   45.962855121
    3.993113000    8.478417187   63.219626001
    4.062863500   13.425968817   77.966894120
    4.132614000   19.244502958   87.687151010
    4.202364500   25.495795592   90.108531253
    4.272115000   31.623725924   84.143779746
    4.341865500   37.072214897   71.004019929
    4.411616000   41.444089174   53.866059322
    4.481366500   44.595102515   36.608077454
    4.551117000   46.627989553   22.243902468
    4.620867500   47.802579266   12.010495665
    4.690618000   48.406073602    5.766689847
    4.760368500   48.682814180    2.441289552
    4.830119000   48.796151273    0.887856489
    4.899869500   48.836120785    0.276820384
    4.969620000   48.849231675    0.053946230
