#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      1.64e+00    1.64e+00      3.38e-02    3.05e-02      6.86e-02    6.85e-02    5.7e-04
  59000      1.52e+00    1.18e+00      3.97e-03    3.48e-03      6.36e-02    4.93e-02    5.7e-04
  60000      2.03e+00    1.97e+00      6.26e-03    5.07e-03      8.74e-02    8.47e-02    5.4e-04
  61000      1.53e+00    2.08e+00      1.43e-02    1.82e-02      6.56e-02    8.93e-02    5.4e-04
  62000      1.42e+00    1.29e+00      3.88e-03    1.05e-02      6.13e-02    5.53e-02    5.4e-04
  63000      2.79e+00    1.96e+00      1.54e-02    1.98e-02      1.20e-01    8.42e-02    5.4e-04
  64000      1.46e+00    1.42e+00      4.40e-03    3.22e-03      6.29e-02    6.09e-02    5.4e-04
  65000      1.61e+00    1.58e+00      9.84e-03    7.71e-03      7.10e-02    6.96e-02    5.1e-04
  66000      1.38e+00    1.20e+00      9.19e-03    8.56e-03      6.09e-02    5.29e-02    5.1e-04
  67000      1.40e+00    1.00e+00      6.12e-03    6.31e-03      6.16e-02    4.42e-02    5.1e-04
  68000      1.09e+00    7.11e-01      5.37e-03    5.00e-03      4.80e-02    3.14e-02    5.1e-04
  69000      1.14e+00    1.50e+00      1.78e-02    1.80e-02      5.01e-02    6.61e-02    5.1e-04
  70000      1.28e+00    1.04e+00      1.28e-02    9.33e-03      5.80e-02    4.71e-02    4.9e-04
  71000      1.26e+00    1.17e+00      1.55e-02    1.62e-02      5.69e-02    5.29e-02    4.9e-04
  72000      1.67e+00    1.39e+00      1.67e-02    1.42e-02      7.57e-02    6.29e-02    4.9e-04
  73000      9.43e-01    8.92e-01      1.77e-02    1.22e-02      4.26e-02    4.03e-02    4.9e-04
  74000      1.41e+00    1.23e+00      1.01e-02    8.56e-03      6.37e-02    5.58e-02    4.9e-04
  75000      1.48e+00    1.28e+00      2.16e-03    9.47e-03      6.87e-02    5.93e-02    4.6e-04
  76000      9.92e-01    1.35e+00      3.96e-03    7.48e-03      4.60e-02    6.26e-02    4.6e-04
  77000      1.37e+00    1.15e+00      3.79e-03    8.02e-03      6.37e-02    5.36e-02    4.6e-04
  78000      1.02e+00    1.17e+00      5.44e-03    7.71e-03      4.71e-02    5.43e-02    4.6e-04
  79000      1.28e+00    1.25e+00      1.58e-02    1.58e-02      5.93e-02    5.78e-02    4.6e-04
  80000      1.50e+00    1.59e+00      3.47e-03    6.16e-03      7.14e-02    7.56e-02    4.4e-04
  81000      1.12e+00    8.75e-01      1.05e-02    9.61e-03      5.33e-02    4.17e-02    4.4e-04
  82000      7.61e-01    7.17e-01      1.42e-03    1.94e-03      3.63e-02    3.42e-02    4.4e-04
  83000      9.73e-01    9.24e-01      1.04e-02    1.15e-02      4.63e-02    4.40e-02    4.4e-04
  84000      1.09e+00    1.21e+00      4.31e-03    3.40e-03      5.20e-02    5.77e-02    4.4e-04
  85000      7.51e-01    6.96e-01      4.95e-03    7.33e-03      3.67e-02    3.40e-02    4.2e-04
  86000      1.15e+00    1.01e+00      6.30e-03    8.64e-04      5.63e-02    4.94e-02    4.2e-04
  87000      7.61e-01    6.98e-01      5.42e-03    1.56e-02      3.72e-02    3.41e-02    4.2e-04
  88000      9.64e-01    8.01e-01      1.12e-02    1.03e-02      4.71e-02    3.91e-02    4.2e-04
  89000      9.35e-01    5.60e-01      9.15e-03    1.03e-02      4.57e-02    2.74e-02    4.2e-04
  90000      1.30e+00    9.50e-01      9.75e-03    9.93e-03      6.50e-02    4.76e-02    4.0e-04
  91000      1.32e+00    9.43e-01      7.95e-04    2.02e-03      6.62e-02    4.73e-02    4.0e-04
  92000      1.77e+00    1.07e+00      1.60e-02    1.20e-02      8.86e-02    5.34e-02    4.0e-04
  93000      1.28e+00    1.05e+00      7.70e-03    1.19e-02      6.40e-02    5.25e-02    4.0e-04
  94000      9.19e-01    1.33e+00      9.27e-03    1.32e-02      4.61e-02    6.64e-02    4.0e-04
  95000      7.87e-01    7.66e-01      6.45e-03    5.82e-03      4.05e-02    3.94e-02    3.8e-04
  96000      1.30e+00    8.79e-01      4.26e-03    1.45e-02      6.66e-02    4.52e-02    3.8e-04
  97000      5.94e-01    7.45e-01      9.42e-03    8.29e-03      3.05e-02    3.83e-02    3.8e-04
  98000      6.99e-01    8.61e-01      5.38e-03    6.73e-03      3.60e-02    4.43e-02    3.8e-04
  99000      1.39e+00    8.70e-01      5.36e-03    9.82e-03      7.15e-02    4.47e-02    3.8e-04
 100000      1.15e+00    1.06e+00      6.50e-03    9.73e-03      6.08e-02    5.61e-02    3.6e-04
 101000      7.03e-01    1.05e+00      6.95e-03    5.23e-03      3.71e-02    5.54e-02    3.6e-04
 102000      9.05e-01    6.72e-01      3.90e-03    2.86e-03      4.77e-02    3.54e-02    3.6e-04
 103000      7.68e-01    7.16e-01      6.91e-03    1.12e-02      4.05e-02    3.77e-02    3.6e-04
 104000      8.19e-01    7.63e-01      5.85e-03    5.07e-03      4.32e-02    4.02e-02    3.6e-04
 105000      5.93e-01    5.41e-01      1.09e-03    3.85e-03      3.21e-02    2.93e-02    3.4e-04
 106000      8.83e-01    7.22e-01      6.30e-03    8.68e-03      4.78e-02    3.91e-02    3.4e-04
 107000      9.21e-01    8.84e-01      7.18e-03    8.90e-03      4.99e-02    4.78e-02    3.4e-04
 108000      5.54e-01    8.16e-01      7.23e-03    2.55e-03      2.99e-02    4.41e-02    3.4e-04
 109000      7.66e-01    5.41e-01      8.47e-03    7.53e-03      4.14e-02    2.93e-02    3.4e-04
 110000      1.88e+00    8.64e-01      4.87e-03    5.14e-03      1.05e-01    4.80e-02    3.2e-04
 111000      8.80e-01    7.86e-01      1.67e-03    7.68e-03      4.89e-02    4.36e-02    3.2e-04
 112000      7.61e-01    6.05e-01      7.69e-03    7.17e-03      4.22e-02    3.36e-02    3.2e-04
 113000      5.66e-01    6.17e-01      3.83e-03    6.20e-03      3.15e-02    3.43e-02    3.2e-04
 114000      8.60e-01    6.08e-01      8.95e-03    4.64e-04      4.77e-02    3.37e-02    3.2e-04
 115000      9.49e-01    7.94e-01      5.24e-03    5.34e-03      5.40e-02    4.53e-02    3.1e-04
 116000      6.20e-01    6.34e-01      1.07e-03    7.85e-03      3.53e-02    3.61e-02    3.1e-04
 117000      8.14e-01    5.96e-01      9.75e-03    4.25e-03      4.63e-02    3.40e-02    3.1e-04
 118000      5.55e-01    5.63e-01      1.57e-03    1.49e-03      3.16e-02    3.21e-02    3.1e-04
